variance,skewness,kurtosis,entropy,class
6902.042643,-0.425633683,-0.451039957,11.21209036,1
13130.83849,-0.085164982,-1.16710713,11.15090845,1
5988.915673,-0.203324987,-0.578595793,11.21811378,1
6529.644243,-0.339838029,-0.715301185,11.21568332,1
5545.826369,-0.623995156,-0.445238785,11.22365538,1
5832.136825,-0.342768193,-0.345845655,11.2199429,1
5311.262333,-0.468309161,-0.593843324,11.22495085,1
5271.611832,-0.464116539,-0.175771914,11.22369561,1
4986.016001,-0.269799212,-0.130429747,11.22350225,1
6359.76637,-0.302032639,-0.129438317,11.21471138,1
5754.143654,-0.415690199,-0.278297896,11.22050221,1
5543.295097,-0.387295644,-0.305400884,11.22263109,1
14267.64102,0.400751968,-0.777402516,11.0867863,1
11268.65098,0.482744851,-0.236990181,11.15501522,1
14597.61446,0.305318148,-1.081771289,11.13437332,1
7706.548252,0.203758208,-1.050893515,11.2007832,1
6415.632902,0.157469566,-1.019835533,11.20767217,1
5670.185205,0.287007465,-1.005671275,11.21430238,1
6840.805798,0.329302885,-0.417724038,11.19795455,1
7010.712006,0.294704266,-0.61530561,11.19543102,1
6475.413486,0.370643278,-0.661543364,11.20180315,1
5931.867196,0.192093584,-1.034010387,11.21181993,1
7030.387289,0.117418049,-1.024296663,11.20597269,1
8938.237506,1.097756232,-0.210533177,11.18519901,1
14803.94962,0.047568028,-1.228435123,11.12203633,1
6645.891407,0.083795251,-1.216594841,11.20602478,1
7183.961162,0.121008802,-1.182085309,11.20668191,1
6363.691872,0.158549151,-1.12887419,11.2107919,1
6685.80232,0.087485742,-1.148716296,11.20900223,1
6676.935189,0.069599081,-1.184855955,11.20890042,1
6141.326764,0.140024979,-1.251736681,11.20985413,1
6155.679861,0.123106902,-1.120062623,11.21031854,1
6035.166232,0.027269094,-1.208722235,11.21264095,1
7239.290577,0.103713469,-1.229761701,11.20775359,1
16224.64475,0.109660961,-1.440845317,11.13575611,1
15118.45166,0.32323063,-1.031045208,11.09297113,1
11418.78941,-0.14084971,-1.087816524,11.17937448,1
11870.49459,-0.035722338,-1.200138355,11.17855833,1
13525.35196,0.16459003,-1.177189349,11.14876986,1
9969.712467,0.115445013,-0.966434356,11.18369856,1
15200.4452,-0.145865611,-1.353224161,11.15319748,1
14289.84204,-0.056848412,-1.354941644,11.1620723,1
16371.53749,0.090696786,-1.410686729,11.13778959,1
14564.92768,0.030170083,-1.335263599,11.15609698,1
13499.45223,-0.079068318,-1.287188888,11.16245544,1
19862.57054,0.258251959,-1.304125639,11.07748011,1
15603.05053,0.229310274,-1.319881903,11.13645881,1
15666.30359,0.242806796,-1.349731156,11.13855297,1
13646.51822,0.032141284,-1.308616658,11.15947531,1
12895.6561,-0.044915063,-1.376221675,11.16766026,1
17359.12754,0.227829638,-1.44487806,11.12662324,1
16718.86852,0.205424902,-1.473597653,11.13615456,1
15473.42938,0.007013343,-1.407701522,11.14443052,1
15511.05918,-0.072176451,-1.38847518,11.14671018,1
15635.31419,0.053919648,-1.390633715,11.14712568,1
17771.20847,0.279986558,-1.373073742,11.11850714,1
18189.24082,0.41042105,-1.033887953,11.07331244,1
15111.49458,0.010872739,-1.290339077,11.14448369,1
15886.67031,0.045941053,-1.363955146,11.14543004,1
15731.76576,0.20181656,-1.31737023,11.13059845,1
18918.1246,0.229831075,-1.489355361,11.10284243,1
15419.33764,0.026022421,-1.37439039,11.14851403,1
15514.10041,0.119175761,-1.336072854,11.13593154,1
14052.087,0.930369315,-0.776064852,11.10988157,1
14635.51113,0.918545888,-0.842779369,11.11822741,1
14475.40924,0.938006454,-0.786392594,11.11175085,1
13678.48756,1.135108754,-0.270466895,11.10412715,1
15809.29072,0.525473975,-0.674550086,11.08550737,1
14622.55937,0.918139431,-0.831557453,11.11686756,1
14231.07375,0.818871242,-0.925326575,11.12000493,1
15499.90355,0.895219166,-0.804647361,11.0916328,1
15303.18579,0.842762221,-0.907092596,11.10349234,1
15711.85877,0.7516833,-1.07972572,11.11485815,1
13254.16899,1.127582799,-0.230838258,11.10802521,1
13830.31845,0.808137543,-0.987279814,11.11269012,1
13346.02928,1.035469338,-0.453737976,11.10602442,1
12425.71856,1.262843183,0.134306432,11.09698653,1
13285.41236,1.306960199,0.224117799,11.09815456,1
15186.52773,0.594850111,-0.611204976,11.05928094,1
